"Senator","IdealPoint","MinIdealPoint","MaxIdealPoint"
"FORD (R USA)",0.936253119809628,0.639693630952982,1.27117978098766
"SPARKMAN (D AL)",0.443199137785216,0.344318213524011,0.547167485604462
"ALLEN (D AL)",0.987126185776737,0.845975162626171,1.13739105777561
"GRAVEL (D AK)",-0.281591329882821,-0.439221309885793,-0.0992408633825293
"STEVENS (R AK)",0.386103961253107,0.271986291145812,0.493552723682291
"FANNIN (R AZ)",1.83241146166478,1.5941455000303,2.1147617293807
"GOLDWATER (R AZ)",1.89669175518021,1.58433875003831,2.28280374185283
"MCCLELLAN (D AR)",0.808145027823623,0.673119057127598,0.973520023551225
"BUMPERS (D AR)",-0.348228637327297,-0.51107361476944,-0.15756617872442
"CRANSTON (D CA)",-0.861812183872988,-1.10585201326034,-0.573037003172702
"TUNNEY (D CA)",-0.717140162055211,-0.950095725233912,-0.451416119692691
"HASKELL (D CO)",-0.873889770013889,-1.08811695639282,-0.601978094921071
"HART (D CO)",-0.773273190014028,-0.975783003091668,-0.524641120198456
"WEICKER (R CT)",-0.111683785959380,-0.254027631138117,0.0451764562220306
"RIBICOFF (D CT)",-0.676638982855075,-0.871175022585025,-0.439179839791699
"BIDEN (D DE)",-0.787757305812951,-1.02875244406434,-0.51023091768341
"ROTH (R DE)",0.487560093638975,0.375549102689142,0.602754386216908
"STONE (D FL)",0.240400419868237,0.132687169404101,0.349135076997202
"CHILES (D FL)",0.133631413703413,0.00800826898084216,0.260123791991005
"TALMADGE (D GA)",0.63206762965666,0.522177358908547,0.756174525808942
"NUNN (D GA)",0.403178232904572,0.293146929105713,0.510599172937978
"INOUYE (D HI)",-0.417575962493374,-0.580212142161277,-0.213523897956529
"FONG (R HI)",0.430656881874586,0.313652862912984,0.539926900461544
"MCCLURE (R ID)",1.53893451016318,1.32596159750647,1.77705042653437
"CHURCH (D ID)",-0.585759006818691,-0.808218227051532,-0.341548032013548
"STEVENSON (D IL)",-0.744899902993326,-0.961797226073117,-0.503252045347416
"PERCY (R IL)",-0.0663166320248537,-0.202799756300783,0.0968529293212584
"BAYH (D IN)",-1.05458226879827,-1.33891053063867,-0.727314001077668
"HARTKE (D IN)",-0.800056312520687,-1.03571722083262,-0.530451033534932
"CLARK (D IA)",-1.36274252172468,-1.66115429140187,-1.00795098963796
"CULVER (D IA)",-1.28737594811287,-1.55519688166450,-0.95085353206880
"DOLE (R KS)",0.781584733257396,0.65468018415655,0.913165330401864
"PEARSON (R KS)",0.197376443948220,0.07899684683023,0.315241637798934
"HUDDLESTON (D KY)",-0.275696598832149,-0.421149176271757,-0.0977265539263604
"FORD (D KY)",-0.226424934784598,-0.369087343470342,-0.0532518066712237
"JOHNSTON (D LA)",0.292276495596773,0.187471377999577,0.410593257943533
"LONG (D LA)",0.338533647064067,0.207213749375502,0.470157024636408
"MUSKIE (D ME)",-0.852303571444768,-1.10764206847664,-0.578935476540908
"HATHAWAY (D ME)",-1.00362674514147,-1.23956435100901,-0.691944050501647
"BEALL (R MD)",0.258887066777581,0.143467412207519,0.371338320561175
"MATHIAS (R MD)",-0.460864633037627,-0.634415678819038,-0.250200753157437
"KENNEDY (D MA)",-1.27428477059961,-1.57648490572152,-0.894205903933434
"BROOKE (R MA)",-0.651197887261598,-0.88569725677784,-0.382136087122040
"HART (D MI)",-1.10252738257405,-1.38113402424054,-0.766031846066707
"GRIFFIN (R MI)",0.664243523606347,0.546424669902091,0.786382755688798
"MONDALE (D MN)",-1.10275507593182,-1.35978802781679,-0.762164011554666
"HUMPHREY (D MN)",-0.925499370781608,-1.1670204798964,-0.626927221880828
"EASTLAND (D MS)",0.858090150382677,0.720450599983391,1.01274590606242
"STENNIS (D MS)",0.808785392299784,0.681639966023447,0.94916911851905
"EAGLETON (D MO)",-0.653118069461344,-0.872853134124751,-0.423830171324297
"SYMINGTON (D MO)",-0.443361298562293,-0.640620425723685,-0.221702100038595
"METCALF (D MT)",-0.619299439886923,-0.83901539239181,-0.363370607929843
"MANSFIELD (D MT)",-0.714491313021341,-0.917650924193648,-0.452803704884022
"CURTIS (R NE)",1.84201933314505,1.59286147233826,2.10226101463692
"HRUSKA (R NE)",1.53499477189067,1.32952984109859,1.76790756398448
"CANNON (D NV)",0.0657688598985523,-0.0580099282323883,0.185708925981266
"LAXALT (R NV)",1.35178990334033,1.16650687423131,1.56785292113450
"MCINTYRE (D NH)",-0.65793720697978,-0.849262796322456,-0.412607558353813
"COTTON (R NH)",0.401785989437844,-0.179075993182099,1.03152229690222
"DURKIN (D NH)",-0.861174982963537,-1.12080790500666,-0.530585809656616
"CASE (R NJ)",-0.652432171245306,-0.889703404996652,-0.3971555812365
"WILLIAMS (D NJ)",-0.855624409412718,-1.08161323137227,-0.579459718392352
"DOMENICI (R NM)",0.701211704187944,0.56895678747957,0.82093993000111
"MONTOYA (D NM)",-0.0731245043830483,-0.211991824155329,0.103562944740755
"JAVITS (R NY)",-0.46421178738049,-0.630293135885123,-0.257848344293389
