"Senator","IdealPoint","MinIdealPoint","MaxIdealPoint"
"BUSH (R USA)",1.36737463757616,0.812949249897687,2.10621800884810
"SESSIONS (R AL)",2.10455627176110,1.67356547702981,2.6035397930703
"SHELBY (R AL)",1.39591855098942,1.04645788579515,1.74000160518931
"MURKOWSKI (R AK)",1.03929549376475,0.783678537982055,1.28973126429071
"STEVENS (R AK)",1.09240802895033,0.8121243527638,1.37612009969949
"KYL (R AZ)",1.77734403641027,1.36885096557632,2.18100173581211
"MCCAIN (R AZ)",0.906789754814113,0.6524810759687,1.12956753464091
"PRYOR (D AR)",-0.751106275953936,-1.12056236693748,-0.514808779297563
"LINCOLN (D AR)",-0.856536639618938,-1.27500877962675,-0.614407745473334
"BOXER (D CA)",-2.10972314353837,-2.90004693929477,-1.60942959961449
"FEINSTEIN (D CA)",-1.32489412718208,-1.87974636553818,-0.984386560679716
"ALLARD (R CO)",1.96505909490432,1.53343851187558,2.46111961785294
"SALAZAR (D CO)",-0.960916369611304,-1.37484523362145,-0.701003959256188
"DODD (D CT)",-1.55872830362662,-2.15192856658766,-1.17056990982108
"LIEBERMAN (D CT)",-1.09188627296975,-1.51522718140630,-0.77783085712227
"BIDEN (D DE)",-1.07093500905646,-1.53576224491756,-0.787003924548548
"CARPER (D DE)",-0.618015827293097,-0.95796271807165,-0.397099307924296
"MARTINEZ (R FL)",1.21626219675901,0.907065498993317,1.53415245049839
"NELSON (D FL)",-0.795072367099786,-1.18890351761264,-0.575497381920781
"CHAMBLISS (R GA)",1.62997430176286,1.23650178132436,2.02612346541157
"ISAKSON (R GA)",1.70810577650578,1.34169393694590,2.12120037572030
"AKAKA (D HI)",-1.69536033045343,-2.36228538947423,-1.29418656021180
"INOUYE (D HI)",-1.16175037699576,-1.62290298510262,-0.849345033239103
"CRAIG (R ID)",1.52121119355107,1.16471025594999,1.90577426741362
"CRAPO (R ID)",1.63973907984057,1.30656420196532,2.10527236581788
"DURBIN (D IL)",-2.00789663939021,-2.67352884429069,-1.46508282806402
"OBAMA (D IL)",-1.62404210406763,-2.29049250256941,-1.21992415167812
"BAYH (D IN)",-1.21586951963084,-1.69396914213077,-0.94218865746856
"LUGAR (R IN)",0.84267965354565,0.603556986649776,1.03491124877176
"GRASSLEY (R IA)",1.42543262956316,1.11496273531743,1.77602509256735
"HARKIN (D IA)",-2.03717164956274,-2.79439975953611,-1.53205923640548
"BROWNBACK (R KS)",1.37489325046166,1.09988341405776,1.71818349380752
"ROBERTS (R KS)",1.39242334345144,1.07892617944382,1.68624787581360
"BUNNING (R KY)",1.99843614373622,1.50325455739694,2.56655037327345
"MCCONNELL (R KY)",1.76428238146273,1.38133898497476,2.19718885367592
"VITTER (R LA)",1.57266013707958,1.20410327385382,1.99216865921333
"LANDRIEU (D LA)",-0.652797361447527,-0.971507069445437,-0.429795180746893
"COLLINS (R ME)",0.279963980406869,0.0880062150119073,0.436545621734247
"SNOWE (R ME)",0.160099407358858,-0.0247428132482285,0.317369179378325
"MIKULSKI (D MD)",-1.73822949052415,-2.38840125512828,-1.32735126927681
"SARBANES (D MD)",-1.89093462559100,-2.59269653167779,-1.41968614977069
"KENNEDY (D MA)",-2.08013271522451,-2.75603536862518,-1.59544454340362
"KERRY (D MA)",-1.71604586484482,-2.35183107417304,-1.35390971647611
"STABENOW (D MI)",-1.30653622921226,-1.78785999897223,-1.00155617370497
"LEVIN (D MI)",-1.74380086771594,-2.49168723209634,-1.34063430031804
"DAYTON (D MN)",-1.62439277136522,-2.20937279573096,-1.23510261691455
"COLEMAN (R MN)",0.575017378814777,0.381964522899654,0.765345872853912
"COCHRAN (R MS)",1.36809937399825,1.00451996344335,1.72288345579837
"LOTT (R MS)",1.54454595055288,1.19246948287854,1.96169518985914
"TALENT (R MO)",0.846823461746874,0.599048069617359,1.06022087802808
"BOND (R MO)",1.43991673429115,1.08958767264266,1.77264844475066
"BAUCUS (D MT)",-0.657916816403149,-1.03868404808440,-0.411427793800551
"BURNS (R MT)",1.25306731472488,0.932642424825448,1.57372863324808
"HAGEL (R NE)",1.28939736311417,0.99631614976362,1.60952128449143
"NELSON (D NE)",0.0337803426735085,-0.175009013855290,0.211316262422476
"ENSIGN (R NV)",1.65106080367871,1.31938550456084,1.99087708862682
"REID (D NV)",-1.33351355240874,-1.87801322138383,-1.00810690980196
"GREGG (R NH)",1.47953681861816,1.15357704264697,1.92680706948565
"SUNUNU (R NH)",1.37566759521637,1.06627679539026,1.67556297802967
"CORZINE (D NJ)",-2.00546927696624,-2.87580966204560,-1.41672103320064
"MENENDEZ (D NJ)",-1.79476170610766,-2.55325986438151,-1.27705822624655
"LAUTENBERG (D NJ)",-1.99305839310109,-2.65904241379485,-1.48800869289079
"BINGAMAN (D NM)",-1.06927903208772,-1.49576870449124,-0.791112564027259
"DOMENICI (R NM)",1.10886042239264,0.803049632852625,1.38774869739306
"CLINTON (D NY)",-1.55786165788661,-2.23025963311075,-1.18552059398841
"SCHUMER (D NY)",-1.43900810106143,-2.0396232066716,-1.08228446994929
"BURR (R NC)",1.67092855777370,1.29340129890492,2.04642369564551
"DOLE (R NC)",1.38509656561087,1.05755706315003,1.70612106285772
"CONRAD (D ND)",-0.657211798590862,-1.00010922353526,-0.42171044639651
"DORGAN (D ND)",-0.973538092042492,-1.45057166478973,-0.716200351625003
"DEWINE (R OH)",0.377842415112936,0.211364131689624,0.562672184228911
"VOINOVICH (R OH)",0.759040872752019,0.524598874472788,0.975665157890646
"INHOFE (R OK)",1.90985406515025,1.45494672488344,2.42057606768813
"COBURN (R OK)",2,2,2
"SMITH (R OR)",0.75202279674469,0.52452778815521,0.95744288839527
"WYDEN (D OR)",-1.62432584467117,-2.23493045691548,-1.20681912191279
"SANTORUM (R PA)",1.22188777085536,0.90379498515585,1.53038675258656
"SPECTER (R PA)",0.325681850613855,0.145370695548278,0.493586395786758
"CHAFEE (R RI)",-0.076200392558234,-0.303970484295927,0.102837924490006
"REED (D RI)",-1.84909659135994,-2.50351171252847,-1.42128983829857
"DEMINT (R SC)",2.13303619736589,1.71484348015092,2.6698471156062
"GRAHAM (R SC)",1.22633846282404,0.925742791616696,1.54624320876665
"THUNE (R SD)",1.23480074483050,0.921163018162282,1.51047471415015
"JOHNSON (D SD)",-0.805119362499455,-1.17643361182931,-0.567601429818945
"FRIST (R TN)",1.48236767753044,1.15026490489177,1.82787176388626
"ALEXANDER (R TN)",1.36444463580638,1.02207631606008,1.68768209428373
"CORNYN (R TX)",1.73107085766114,1.33040974992493,2.24410069493234
"HUTCHISON (R TX)",1.10600963621748,0.876603256550924,1.36169740571017
"BENNETT (R UT)",1.27479626904791,0.966181041681986,1.55117664894628
"HATCH (R UT)",1.34692026762569,1.04231437242970,1.66622213728285
"JEFFORDS (Indep VT)",-1.44443264736039,-1.92929260185576,-1.11263253400227
"LEAHY (D VT)",-1.80368994189252,-2.54130734383165,-1.39546784384453
"ALLEN (R VA)",1.46023814769816,1.12997963253066,1.82658119111879
"WARNER (R VA)",0.833064373605324,0.598056499910295,1.05112012726247
"CANTWELL (D WA)",-1.32377633378362,-1.83164459384136,-0.973647757175007
"MURRAY (D WA)",-1.59197823573998,-2.17732524479228,-1.20540000390708
"BYRD (D WV)",-0.820077389924513,-1.22714728801363,-0.576628488385707
"ROCKEFELLER (D WV)",-1.19400606454912,-1.6890965652371,-0.894876538521003
"FEINGOLD (D WI)",-1.58354808362842,-2.17978809446272,-1.20884628273851
"KOHL (D WI)",-1.06507708465896,-1.51317813176835,-0.797869511593235
"ENZI (R WY)",1.91291515072720,1.42042382918509,2.4802929682606
"THOMAS (R WY)",1.87492588748086,1.40366339854331,2.39533985596982
