"Senator","IdealPoint","MinIdealPoint","MaxIdealPoint"
"REAGAN (R USA)",1.81144925581689,1.05105233637334,2.81873633664305
"DENTON (R AL)",2.33215818341869,1.62703480484657,3.14512083144419
"HEFLIN (D AL)",0.122560096362630,-0.176698803102679,0.411912222469164
"STEVENS (R AK)",1.44036467510120,0.995766839480902,1.97439026369488
"MURKOWSKI (R AK)",1.73008066925948,1.15874484994441,2.31636372420335
"DECONCINI (D AZ)",-0.596828511596972,-0.927564185222276,-0.168686406949821
"GOLDWATER (R AZ)",1.97323142006533,1.30965054334604,2.77538608270338
"BUMPERS (D AR)",-1.12551673879207,-1.54428976672208,-0.535496528772168
"PRYOR (D AR)",-1.17146987062736,-1.54984859386219,-0.630994972576349
"WILSON (R CA)",2.08844595216933,1.4586518726814,2.93535991062565
"CRANSTON (D CA)",-1.99318013286212,-2.6545078820196,-1.18781482017988
"ARMSTRONG (R CO)",3.38308485240473,2.25452604449406,4.62666392432479
"HART (D CO)",-2.56797668995436,-3.35943684257014,-1.50904261573048
"DODD (D CT)",-1.33029805994764,-1.8234781278192,-0.720564163649954
"WEICKER (R CT)",-0.228760935408734,-0.550788288861571,0.090353029578419
"BIDEN (D DE)",-1.71876491534147,-2.32514042607117,-1.00635455833481
"ROTH (R DE)",1.73797676625049,1.21174616361013,2.39113687634104
"HAWKINS (R FL)",1.45633268542265,1.00186802588224,2.05708461793617
"CHILES (D FL)",-0.519787818884063,-0.864687214314075,-0.104191877409382
"NUNN (D GA)",-0.175141565221614,-0.526752210383018,0.18593192378237
"MATTINGLY (R GA)",1.99187824274276,1.39498159233952,2.70604569983951
"INOUYE (D HI)",-2.04938324556064,-2.80091445280083,-1.21953194970954
"MATSUNAGA (D HI)",-1.89525028124413,-2.58217221110625,-1.17178562214368
"MCCLURE (R ID)",3.25649428154053,2.20012308829316,4.28845216467636
"SYMMS (R ID)",3.68341255980751,2.4481769342995,5.2731703345592
"DIXON (D IL)",-0.551150390136003,-0.890947417722757,-0.154847740954492
"SIMON (D IL)",-2.25269513882933,-2.96427340090125,-1.35860320197738
"QUAYLE (R IN)",2.37201734686519,1.64271943927219,3.34729808363323
"LUGAR (R IN)",2.0875572156803,1.47020097677108,2.99884607712003
"HARKIN (D IA)",-2.81378170375489,-3.58420121965169,-1.73158616884570
"GRASSLEY (R IA)",0.824508223037406,0.454121269686452,1.22570996518227
"KASSEBAUM (R KS)",1.12923810049428,0.730051854350548,1.63463905773266
"DOLE (R KS)",2.41698874118812,1.78314313062489,3.21963253901765
"MCCONNELL (R KY)",2.10275822815081,1.46326503744348,2.91617507111995
"FORD (D KY)",-0.903408373534084,-1.36725823847389,-0.410501748608020
"LONG (D LA)",0.3232965309252,-0.0256677619403695,0.605171552907839
"JOHNSTON (D LA)",-0.581826521922111,-0.909331478877018,-0.149971004236684
"MITCHELL (D ME)",-1.64930974717545,-2.23907446075978,-0.922343898147885
"COHEN (R ME)",0.563257680071702,0.221283514758305,0.954663875797306
"SARBANES (D MD)",-3.17269781762453,-4.05217120638236,-1.99559445476557
"MATHIAS (R MD)",-0.487579192934701,-0.848628350633043,-0.121046314369992
"KENNEDY (D MA)",-2.01278331849480,-2.73695997542555,-1.20156029713498
"KERRY (D MA)",-2.06841101117939,-2.71289661774791,-1.23626915620931
"LEVIN (D MI)",-2.16574889880161,-2.96503024915759,-1.26051696149675
"RIEGLE (D MI)",-2.33475198465033,-3.05214147939808,-1.47152198500171
"BOSCHWITZ (R MN)",1.74026990603813,1.25004718814755,2.40646091765934
"DURENBERGER (R MN)",0.61772113949766,0.315137233750893,0.98404643588333
"COCHRAN (R MS)",1.98351707054446,1.40205382788226,2.68858373270076
"STENNIS (D MS)",-0.000210574320728980,-0.361955869019331,0.377157601144057
"DANFORTH (R MO)",1.09456109878838,0.72271005552758,1.59776701291364
"EAGLETON (D MO)",-1.81980028043603,-2.42213249417544,-1.05282074434911
"MELCHER (D MT)",-2.07780394412801,-2.92931098950284,-1.1124851095174
"BAUCUS (D MT)",-1.39186958824144,-1.91431464829615,-0.743852000860332
"ZORINSKY (D NE)",0.130170606410083,-0.168835339234665,0.504167951463199
"EXON (D NE)",-0.717958169555021,-1.1196958998214,-0.269779504613907
"LAXALT (R NV)",2.94153061084706,2.11667184554126,4.00921092964003
"HECHT (R NV)",3.70178263119394,2.49683133016389,5.01608509548748
"HUMPHREY (R NH)",2.46209589925363,1.71107505319392,3.3317446164695
"RUDMAN (R NH)",2.02906764778659,1.43588319002196,2.68938960741500
"BRADLEY (D NJ)",-1.10627740929407,-1.56624454534803,-0.555320913055973
"LAUTENBERG (D NJ)",-1.92389873481997,-2.56977764034786,-1.09018070366214
"DOMENICI (R NM)",2.31347172996182,1.66024373601145,3.16285089266584
"BINGAMAN (D NM)",-0.986963995355518,-1.44058172145666,-0.505421917418689
"MOYNIHAN (D NY)",-1.40976355403086,-1.9247865587917,-0.784840185035676
"DAMATO (R NY)",0.661712204637935,0.356492390147443,1.01530022182582
"HELMS (R NC)",3.50701185029211,2.37490175635023,4.66684860253847
"EAST (R NC)",3.62484714692397,2.25656875027075,5.04813730793343
"BROYHILL (R NC)",2.63159465114073,1.53951938437273,3.80580656665772
"ANDREWS (R ND)",0.183956313970829,-0.133005325757555,0.447602396602544
"BURDICK (D ND)",-2.13331859231455,-2.86219790885029,-1.31768250575503
"GLENN (D OH)",-1.10006478716893,-1.55864567262685,-0.549001586082376
"METZENBAUM (D OH)",-2.57128208993878,-3.35265016204190,-1.55024797981778
"BOREN (D OK)",-0.103139602165124,-0.44632601206194,0.258728343044304
"NICKLES (R OK)",2,2,2
"PACKWOOD (R OR)",0.475708982331618,0.133192045099845,0.770387452885752
"HATFIELD (R OR)",0.0589333691866876,-0.311936556443435,0.367664009520744
"SPECTER (R PA)",-0.277149938568303,-0.623355419323689,0.0696815828444814
"HEINZ (R PA)",0.388100729174054,0.0413653939311635,0.68989152265861
"PELL (D RI)",-1.72802771936624,-2.35231648688080,-1.02390341523990
"CHAFEE (R RI)",0.492070658867942,0.161825309354915,0.863887045964893
"HOLLINGS (D SC)",-0.101104522217409,-0.449223299937453,0.253593709379383
"THURMOND (R SC)",2.83614482722543,2.03417393528423,3.63385649599983
"ABDNOR (R SD)",1.32524733492127,0.910862669806871,1.80572112206744
"PRESSLER (R SD)",1.24147601209060,0.883257876385112,1.72990507887224
"GORE (D TN)",-1.57182060227079,-2.14951711984113,-0.862753901082548
"SASSER (D TN)",-1.56431577071998,-2.11385705954461,-0.897767947533697
"BENTSEN (D TX)",-0.246230960501703,-0.605157035682284,0.132169411945422
"GRAMM (R TX)",3.60357964841934,2.41913509364425,5.19282016072388
"GARN (R UT)",2.94106382781717,2.03310700297397,4.16104951589049
"HATCH (R UT)",2.53964916240239,1.71475165596709,3.53067971303067
"STAFFORD (R VT)",0.530350581851759,0.216124791713833,0.864619377822456
"LEAHY (D VT)",-1.50151721630169,-2.07492861927528,-0.838270569761845
"WARNER (R VA)",1.75785057260432,1.29023599343796,2.38086928383110
"TRIBLE (R VA)",1.93160150020183,1.37954066774909,2.67305698932735
"GORTON (R WA)",1.16837805500082,0.81028776942882,1.61267345818865
"EVANS (R WA)",1.14686437642427,0.758227219007667,1.74594040044422
"BYRD (D WV)",-1.20983877670754,-1.70165946365706,-0.660335506316233
"ROCKEFELLER (D WV)",-1.48909317520943,-2.01656522607915,-0.859090112305338
"PROXMIRE (D WI)",-0.798343277619808,-1.19675306391631,-0.302008798870012
"KASTEN (R WI)",0.89738013153182,0.544943245882632,1.34184953875348
"WALLOP (R WY)",3.67642108285723,2.47498008563140,5.05639701939208
"SIMPSON (R WY)",2.35857334091163,1.69042572934239,3.15119956594852
