"Senator","IdealPoint","MinIdealPoint","MaxIdealPoint"
"CLINTON (D USA)",-1.62480270146843,-2.58920009538947,-0.796202831360927
"SESSIONS (R AL)",2,2,2
"SHELBY (R AL)",1.43687462684141,1.04508456837984,1.97721148092247
"MURKOWSKI (R AK)",1.73825527723749,1.29784554056825,2.25160232761963
"STEVENS (R AK)",1.05306142820625,0.70228578916147,1.49325032216935
"KYL (R AZ)",1.86225097358703,1.40032127955636,2.39721377673901
"MCCAIN (R AZ)",0.816884327045009,0.47738440918558,1.30207627172783
"HUTCHINSON (R AR)",1.70415945639180,1.24866977135281,2.31570342296056
"LINCOLN (D AR)",-0.875283718206107,-1.3451262697811,-0.48026466908062
"BOXER (D CA)",-2.22661359322358,-3.11214285508834,-1.67553943944121
"FEINSTEIN (D CA)",-1.13644982151443,-1.65185581346492,-0.73834974530551
"ALLARD (R CO)",2.18361468367539,1.63929371458678,2.87401518823388
"CAMPBELL (R CO)",1.16514153816133,0.815685510092615,1.63954523411689
"DODD (D CT)",-1.38963211218532,-1.98192529801691,-0.967091611785016
"LIEBERMAN (D CT)",-1.00079476193728,-1.47561982642902,-0.609683663997192
"BIDEN (D DE)",-1.13110472327652,-1.62691004850214,-0.716422041515589
"ROTH (R DE)",0.721220562827661,0.450837902160678,1.12585231905422
"GRAHAM (D FL)",-1.09609691540534,-1.59928748167629,-0.706483900278135
"MACK (R FL)",1.52830565647516,1.06355198138905,2.09747261372777
"CLELAND (D GA)",-1.13264566778320,-1.64314318382106,-0.690541591334841
"COVERDELL (R GA)",1.83738230252418,1.33947363381940,2.40193188308605
"MILLER (D GA)",-0.148143360466591,-0.948061847802033,0.795674039407343
"AKAKA (D HI)",-1.74391234354460,-2.48543462308342,-1.22696003231154
"INOUYE (D HI)",-1.2735034827118,-1.88492660904170,-0.856241924698894
"CRAIG (R ID)",2.1402168828942,1.58490418281418,2.75886772431741
"CRAPO (R ID)",1.96105013809844,1.40980247078528,2.58771413228385
"DURBIN (D IL)",-1.79266567885198,-2.55148052117764,-1.27270427529657
"FITZGERALD (R IL)",0.786237589512382,0.513413653152663,1.20161709151545
"BAYH (D IN)",-1.10031758574996,-1.57294936648976,-0.7062512129664
"LUGAR (R IN)",0.91350336393072,0.61782413860043,1.33813491883724
"GRASSLEY (R IA)",1.30587786572519,0.928765094897474,1.81975877750602
"HARKIN (D IA)",-2.02526378901853,-2.88411476695086,-1.47487080794717
"BROWNBACK (R KS)",1.76810116628255,1.26534967526174,2.39983766237189
"ROBERTS (R KS)",1.49414363687938,1.05852690359405,1.99603396270016
"BUNNING (R KY)",1.97946402107951,1.45263832828892,2.60635759171587
"MCCONNELL (R KY)",1.67939581611056,1.21506307247042,2.25287012054950
"BREAUX (D LA)",-0.660994605348721,-1.05159784185099,-0.290545331227333
"LANDRIEU (D LA)",-0.91900489375914,-1.38808369923400,-0.539257083314283
"COLLINS (R ME)",0.484912329270294,0.215198069594237,0.888734097572929
"SNOWE (R ME)",0.378188234750434,0.0892937221730572,0.75197962343097
"MIKULSKI (D MD)",-1.77967400832066,-2.45825527378927,-1.28229386359807
"SARBANES (D MD)",-1.81733449345794,-2.52556861925774,-1.29285232417523
"KENNEDY (D MA)",-1.79667528359504,-2.54572290434587,-1.26129277413616
"KERRY (D MA)",-1.49717754727359,-2.16262492110933,-1.02876751244046
"ABRAHAM (R MI)",0.861714852425216,0.569315297396298,1.26308461057021
"LEVIN (D MI)",-1.79121722449177,-2.50884090772224,-1.28522598054866
"GRAMS (R MN)",1.70251886272242,1.26574853650878,2.26560304975373
"WELLSTONE (D MN)",-2.30385982646376,-2.95304278245886,-1.68605771942040
"COCHRAN (R MS)",1.52830503310734,1.11537798544480,1.98156314421045
"LOTT (R MS)",1.7743553405842,1.33063275528741,2.25381017398722
"ASHCROFT (R MO)",1.51557013470842,1.09178023102949,1.97824901455050
"BOND (R MO)",1.40356144291406,0.98371794426237,1.89768718721297
"BAUCUS (D MT)",-1.08039710313949,-1.55402986651485,-0.690212130101688
"BURNS (R MT)",1.33196844352424,0.936646875900687,1.81293722404476
"HAGEL (R NE)",1.37063560857789,0.995622399516763,1.84295776157067
"KERREY (D NE)",-0.964922456396588,-1.42778402791742,-0.588438558095752
"BRYAN (D NV)",-1.31372461299900,-1.92590745997204,-0.862912324509687
"REID (D NV)",-1.42957483452821,-2.07059427223775,-0.945368644116613
"GREGG (R NH)",1.58327472880138,1.12151622876559,2.08006812256715
"SMITH (R NH)",1.72405157968684,1.18887282276255,2.34851847102463
"LAUTENBERG (D NJ)",-1.94537959735460,-2.59184116068389,-1.44650759679027
"TORRICELLI (D NJ)",-0.952514133367746,-1.42445794850497,-0.567532521362548
"BINGAMAN (D NM)",-1.018242231362,-1.52490175152688,-0.645970911700752
"DOMENICI (R NM)",1.21499227992467,0.87002673411989,1.62590448523796
"MOYNIHAN (D NY)",-1.18004914500224,-1.67690315423378,-0.771523399993696
"SCHUMER (D NY)",-1.54823331103166,-2.17868829277631,-1.07505554184913
"EDWARDS (D NC)",-1.2913100403494,-1.88830187164016,-0.881998122263005
"HELMS (R NC)",1.85327257482878,1.36964391520249,2.45100034916836
"CONRAD (D ND)",-1.01895071781925,-1.51718387052795,-0.621895182189883
"DORGAN (D ND)",-1.19059676567298,-1.71970942577543,-0.761409253212433
"DEWINE (R OH)",0.853923864584085,0.55569452161518,1.30167556556986
"VOINOVICH (R OH)",0.720215737024302,0.439850244303713,1.14262153255869
"INHOFE (R OK)",2.20795502767532,1.73546680441756,2.81476404823297
"NICKLES (R OK)",2.04044195310735,1.46751451138991,2.7324328465105
"SMITH (R OR)",0.891677208076708,0.606471237945966,1.31201908611431
"WYDEN (D OR)",-1.42149424213633,-2.06264565252540,-0.96976228127704
"SANTORUM (R PA)",1.25319656871294,0.90018427645283,1.76173775027578
"SPECTER (R PA)",0.229157153651687,-0.0517129607584575,0.618458358901102
"CHAFEE (R RI)",0.320695323017794,0.00816942100062331,0.712620042525231
"CHAFEE (R RI) 49905",-0.246003399276077,-0.646925983537066,0.141348175491922
"REED (D RI)",-1.9261021391579,-2.61683627191117,-1.41643426758138
"HOLLINGS (D SC)",-1.27016695303574,-1.77698430224227,-0.828136436893386
"THURMOND (R SC)",1.45783854337487,1.04875811906312,1.89955302977372
"DASCHLE (D SD)",-1.43855606304646,-2.09423288833495,-0.985962384278316
"JOHNSON (D SD)",-1.16693539825972,-1.66624635696441,-0.748778811025522
"FRIST (R TN)",1.42075687543429,1.0528702828121,1.88052985208615
"THOMPSON (R TN)",1.39658527313733,1.00042034274726,1.92700017297748
"GRAMM (R TX)",2.23994833368123,1.66435451552105,2.89884606591347
"HUTCHISON (R TX)",1.22465261886231,0.888608802794962,1.67819708576395
"BENNETT (R UT)",1.23888552928332,0.880444148636806,1.67541137254433
"HATCH (R UT)",1.20102072604301,0.832017459025367,1.65993930476445
"JEFFORDS (R VT)",0.255362104299827,-0.0168554556249682,0.624290596972775
"LEAHY (D VT)",-1.52886198838653,-1.989701942098,-1.00269298283463
"ROBB (D VA)",-1.15131414381861,-1.64641295796795,-0.755588563881122
"WARNER (R VA)",1.01298711050069,0.694846639798623,1.47358306877473
"GORTON (R WA)",1.15855639448562,0.832236759714803,1.62391662206844
"MURRAY (D WA)",-1.54497718851603,-2.21929802219129,-1.06173851562065
"BYRD (D WV)",-0.699290662265001,-1.09568905368636,-0.343557958154772
"ROCKEFELLER (D WV)",-1.54615967895705,-2.28978490461156,-1.11241855128532
"FEINGOLD (D WI)",-1.31362996512118,-1.85952203254779,-0.841501462857646
"KOHL (D WI)",-1.25544711583372,-1.75621922591902,-0.795804120705694
"ENZI (R WY)",1.95505362180970,1.41373385984002,2.65177727341932
"THOMAS (R WY)",1.80876119051494,1.33592085102061,2.37633579063220
